NGEL_ID,STATION,CITY,COUNTRY,LAT,LON,YEAR,SEARCH RADIUS,TAU_NEAREST PIXEL,TAU3_PIX,TAU3_MEAN,TAU3_MEDIAN,TAU3_STD
NGEL_OAPM_00044,Springwood,South-East-Queensland,AU,-27.6125,153.1359,1998,4.4,8.0,9,7.0,7.0,1.054
NGEL_OAPM_00045,Huasco-Sivica,Huasco,CL,-28.469998068842,-71.219652562817,1998,3.7,7.0,6,6.167,6.0,0.687
NGEL_OAPM_00046,La-Serena,Coquimbo,CL,-29.933006518748,-71.261966365967,1998,2.2,22.0,9,12.0,9.0,5.981
NGEL_OAPM_00047,Coquimbo,Coquimbo,CL,-29.970390235273,-71.336038250122,1998,2.6,22.0,8,12.75,9.5,5.932
NGEL_OAPM_00048,Tamworth,North-west-Slopes,AU,-31.1105556,150.9141667,1998,5.6,5.0,9,4.667,5.0,0.471
NGEL_OAPM_00049,Wyong,Central-Coast,AU,-32.195,150.6736111,1998,5.5,5.0,9,4.667,5.0,0.471
NGEL_OAPM_00050,Muswellbrook,Upper-Hunter---Muswellbrook,AU,-32.2716667,150.8858333,1998,4.1,5.0,9,5.222,5.0,0.416
NGEL_OAPM_00051,Singleton,Upper-Hunter---Singleton,AU,-32.5297222,151.1497222,1998,2.3,5.0,9,5.667,5.0,0.816
NGEL_OAPM_00052,Ventanas,Puchuncaví,CL,-32.77898790221,-71.373031276855,1998,3.9,7.0,9,8.778,8.0,2.2
NGEL_OAPM_00053,Wallsend,Lower-Hunter,AU,-32.8961111,151.6691667,1998,5.4,6.0,9,5.889,6.0,0.737
NGEL_OAPM_00054,Viña-del-Mar,Viña-del-Mar,CL,-33.020419817382,-71.550092842922,1998,3.3,17.0,8,12.875,13.0,3.822
NGEL_OAPM_00055,Valparaiso,Valparaíso,CL,-33.049743798096,-71.614167231712,1998,3.3,16.0,7,12.857,11.0,3.72
NGEL_OAPM_00057,Las-Condes,Las-Condes,CL,-33.37677352033,-70.523326784061,1998,3.9,16.0,9,14.778,13.0,4.263
NGEL_OAPM_00058,Bathurst,Central-Tablelands,AU,-33.4033333,149.5733333,1998,5.6,5.0,9,5.0,5.0,0.0
NGEL_OAPM_00059,Independencia,Independencia,CL,-33.422301,-70.651162,1998,3.1,23.0,9,19.222,20.0,3.01
NGEL_OAPM_00060,Cerro-Navia,Cerro-Navia,CL,-33.433089610143,-70.732147868717,1998,2.5,21.0,9,17.444,15.0,4.058
NGEL_OAPM_00061,Pudahuel,Pudahuel,CL,-33.437811379126,-70.750171233135,1998,1.4,21.0,9,17.444,15.0,4.058
NGEL_OAPM_00062,Parque-O'Higgins,Santiago,CL,-33.464142,-70.660797,1998,1.9,23.0,9,19.222,20.0,3.01
NGEL_OAPM_00063,Cerrillos,Cerrillos,CL,-33.495821530652,-70.704282224178,1998,6.6,21.0,9,17.444,15.0,4.058
NGEL_OAPM_00064,La-Florida,La-Florida,CL,-33.516630362266,-70.588123961971,1998,5.1,19.0,9,17.333,16.0,4.082
NGEL_OAPM_00065,El-Bosque,El-Bosque,CL,-33.547099645619,-70.666204101852,1998,1.5,23.0,9,19.333,20.0,2.867
NGEL_OAPM_00066,Puente-Alto,Puente-Alto,CL,-33.591390623022,-70.594788,1998,6.2,19.0,9,17.333,16.0,4.082
NGEL_OAPM_00067,Richmond,Sydney-North-west,AU,-33.6183333,150.7458333,1998,3.5,6.0,9,6.222,6.0,1.133
NGEL_OAPM_00068,Talagante,Talagante,CL,-33.673752071375,-70.953064737434,1998,2.7,13.0,9,12.889,13.0,1.449
NGEL_OAPM_00069,Randwick,Sydney-East,AU,-33.9333333,151.2419444,1998,2.0,8.0,7,7.429,8.0,0.728
NGEL_OAPM_00070,Rancagua-II,Rancagua,CL,-34.143888375919,-70.737131207664,1998,1.4,25.0,9,17.111,17.0,3.281
NGEL_OAPM_00071,Rancagua-I,Rancagua,CL,-34.162314609087,-70.713919225517,1998,3.6,25.0,9,17.111,17.0,3.281
NGEL_OAPM_00072,Bargo,Sydney-South-west,AU,-34.3075,150.58,1998,5.5,5.0,9,5.0,5.0,0.0
NGEL_OAPM_00073,Rengo,Rengo,CL,-34.394541417902,-70.852981542328,1998,5.0,18.0,9,15.222,16.0,2.096
NGEL_OAPM_00074,Wollongong,Illawarra,AU,-34.4186111,150.8863889,1998,4.8,7.0,9,6.0,6.0,0.816
NGEL_OAPM_00075,San-Fernando,San-Fernando,CL,-34.579759917069,-70.989685186508,1998,4.9,16.0,9,13.778,13.0,2.043
NGEL_OAPM_00076,Curicó,Curicó,CL,-34.974925077541,-71.233967512329,1998,3.1,20.0,9,12.0,10.0,3.621
NGEL_OAPM_00077,Universidad-de-Talca,Talca,CL,-35.406582744695,-71.633396474869,1998,5.1,27.0,9,12.444,11.0,5.52
NGEL_OAPM_00078,La-Florida,Talca,CL,-35.435141887663,-71.678261499336,1998,3.0,27.0,9,12.444,11.0,5.52
NGEL_OAPM_00079,U.C.-Maule,Maule,CL,-35.435725588722,-71.619553864003,1998,3.2,27.0,9,12.444,11.0,5.52
NGEL_OAPM_00080,Linares,Linares,CL,-35.836942234921,-71.592865853985,1998,4.1,14.0,9,8.222,7.0,3.425
NGEL_OAPM_00081,Albury,South-west-Slopes,AU,-36.0516667,146.9741667,1998,2.2,6.0,9,5.111,5.0,0.567
NGEL_OAPM_00082,INIA--Chillán,Chillán,CL,-36.594880886514,-72.089253650482,1998,6.1,10.0,9,10.889,10.0,4.175
NGEL_OAPM_00083,Liceo-Polivalente,Tomé,CL,-36.601713211434,-72.958522830688,1998,5.4,7.0,8,8.75,6.0,6.722
NGEL_OAPM_00084,Puren,Chillán,CL,-36.616167751711,-72.093040558483,1998,5.4,14.0,9,10.111,9.0,3.755
NGEL_OAPM_00085,Consultorio---San-Vicente,Talcahuano,CL,-36.723695141848,-73.123658865174,1998,3.8,28.0,7,18.286,23.0,8.276
NGEL_OAPM_00086,Nueva-Libertad,Talcahuano,CL,-36.735998,-73.118693,1998,3.2,28.0,7,18.286,23.0,8.276
NGEL_OAPM_00087,Kingston-College,Concepción,CL,-36.784653741124,-73.052063025795,1998,3.9,25.0,9,16.667,13.0,7.986
NGEL_OAPM_00088,Punteras,Chiguayante,CL,-36.923329602986,-73.036132300941,1998,3.2,6.0,9,13.111,10.0,7.95
NGEL_OAPM_00089,Hualqui,Hualqui,CL,-36.97743148785,-72.932017713268,1998,3.4,5.0,9,7.556,5.0,5.718
NGEL_OAPM_00090,Cerro-Merquín,Coronel,CL,-37.021182877699,-73.149555550926,1998,3.2,22.0,7,10.143,8.0,6.01
NGEL_OAPM_00091,21-de-mayo,Los-Angeles,CL,-37.471182288689,-72.36146284977,1998,2.6,25.0,9,9.222,7.0,5.692
NGEL_OAPM_00092,Balneario-Curanilahue,Curanilahue,CL,-37.485131692556,-73.331626473541,1998,4.2,4.0,9,3.556,4.0,0.497
NGEL_OAPM_00093,Ñielol,Temuco,CL,-38.727003260042,-72.580001950264,1998,3.6,25.0,9,11.333,8.0,7.93
NGEL_OAPM_00094,Las-Encinas-Temuco,Temuco,CL,-38.74869912298,-72.620788228172,1998,2.5,27.0,9,11.444,8.0,7.847
NGEL_OAPM_00095,Padre-Las-Casas-II,Padre-las-Casas,CL,-38.764767451719,-72.598795682209,1998,4.5,25.0,9,11.333,8.0,7.93
NGEL_OAPM_00096,Valdivia,Valdivia,CL,-39.831316104673,-73.22851282209,1998,2.8,32.0,9,10.333,7.0,7.986
NGEL_OAPM_00097,Osorno,Osorno,CL,-40.584478665958,-73.11871982209,1998,4.7,30.0,9,11.111,9.0,7.078
NGEL_OAPM_00098,Smithton,Tasmania-Region,AU,-40.8505,145.133,1998,1.4,4.0,9,4.0,4.0,0.0
